
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
-0.2616	0.8716	0.0151
-0.8102	0.8697	0.1048
-1.0765	1.0340	0.3305
-0.9707	0.8820	0.2625
-0.8980	0.7082	0.1974
-0.8055	0.7384	0.2672
-0.7526	0.7705	0.3116
-0.7101	0.7639	0.2720
-0.7800	0.7460	0.1889
-0.8621	1.1143	0.1398
-0.8347	0.7923	0.0831
-0.6723	0.4542	0.1955
-0.7139	0.5770	0.2191
-0.8206	0.4060	0.3050
-0.8130	0.2653	0.3428
-0.7639	0.7488	0.3088
-0.6610	0.5250	0.5165
-0.5902	0.3843	0.4618
-0.5515	0.9367	0.3258
-0.4004	0.8225	0.4306
-0.4655	0.6270	0.7054
-0.5581	0.7668	0.7025
-0.5061	0.5656	0.5449
-0.1804	0.6308	0.4306
0.3541	0.8083	0.3739
0.2701	0.9065	0.1341
0.1067	1.1568	0.1851
-0.1483	1.2323	0.3286
-0.3673	0.9056	0.4523
-0.3541	0.9027	0.5883
-0.3258	0.8036	0.2295
-0.2493	0.7970	0.0633
-0.2880	0.9736	0.0113
-0.3720	0.9556	0.2710
-0.3947	0.6110	0.5269
-0.3494	0.5619	0.3928
-0.2937	0.6638	0.3654
-0.1851	0.6714	0.2493
-0.2880	0.7762	0.1690
-0.4570	0.9849	0.2181
-0.7186	1.0038	0.2701
-0.8905	0.9301	0.4193
-0.9745	1.1407	0.4825
-0.8225	1.1549	0.4599
-0.6846	0.9481	0.2720
-0.6119	0.6553	0.2578
-0.5449	0.9518	0.0453
-0.5562	1.0869	0.1690
-0.4806	0.8376	0.2446
-0.4995	1.0680	0.1813
-0.4769	1.3428	0.4363
-0.4164	1.0028	0.5165
-0.4193	0.7441	0.4825
-0.4042	0.7280	0.4042
-0.3551	0.6752	0.2786
-0.2125	0.6072	0.2568
-0.3116	0.6308	0.3182
-0.4457	0.6629	0.3957
-0.4929	0.8527	0.4816
-0.3787	0.9065	0.4372
-0.2087	0.8546	0.3258
-0.1143	0.7394	0.2115
-0.0151	0.7129	0.0510
0.2115	1.1870	-0.0548
0.1870	0.9896	0.0595
-0.0349	0.9830	0.4674
-0.1511	0.8621	0.7318
-0.1936	0.4230	0.5770
0.0076	0.2153	0.2181
0.3050	0.4155	0.0670
0.5770	1.3824	0.1171
0.1813	1.6043	-0.0425
-1.4580	1.0302	1.0057
-1.1822	-0.7828	0.8687
-0.4476	0.1624	0.7545
-0.8376	0.1955	1.0803
-0.5902	0.1473	0.6298
-0.5600	0.0519	0.8121
-0.6950	-0.0614	1.0567
-0.6487	-0.0113	0.9754
-0.5562	0.0992	0.7913
-0.5515	0.1917	0.8754
-0.5562	0.1265	0.8640
-0.5552	0.0812	0.8725
-0.6582	0.0208	0.8036
-0.7271	-0.0755	0.5373
-0.6195	-0.0312	0.7545
-0.6289	0.0670	0.8111
-0.7148	-0.1218	0.6978
-0.7743	-0.1143	0.5855
-0.7167	-0.0699	0.5921
-0.7422	-0.0925	0.6676
-0.7677	-0.1936	0.6638
-0.7110	-0.1124	0.6449
-0.8848	-0.1785	0.4533
-0.7488	-0.1936	0.7233
-0.7677	-0.1728	0.6686
-0.7771	-0.0755	0.5467
-0.8584	-0.2049	0.5855
-0.7790	-0.1511	0.6648
-0.6468	-0.1775	0.6799
-0.8376	-0.2030	0.6034
-0.9065	-0.2125	0.5345
-0.7630	-0.2540	0.4901
-0.7979	-0.2408	0.5392
-0.7602	-0.0444	0.6176
-0.7875	-0.2559	0.6034
-0.8168	-0.2833	0.4514
-0.8621	-0.1124	0.4589
-0.8074	-0.1171	0.4920
